,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
26735545,patients,carbon monoxide,dementia,dementia,carbon monoxide,poisoning,co poisoning,poisoning,poisoning,poisoning,people,dementia,dementia,person,patients,patients,poisoning,patients,oxygen,poisoning,dementia,dementia,patients,co poisoning,depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30513932,water,chronic kidney disease,water,chronic kidney disease,water,end-stage renal disease,ESRD,patient,ESRD,patients,water,water,zn,ammonia,oxygen,oxygen,ESRD,zn,arsenic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27870801,HEPATITIS,patients,viral hepatitis,cirrhosis,uveitis,hepatitis,patients,viral hepatitis,uveitis,viral hepatitis,uveitis in hepatitis,patients,viral hepatitis,uveitis in hepatitis cohort,patients,hepatitis b virus and hepatitis c virus coinfection,only hepatitis c virus infection,patients,cirrhosis,patients,hepatitis b virus and hepatitis c virus coinfection,uveitis,patients,hepatitis c virus,hepatitis b virus infection,uveitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28328577,parkinson disease,musculoskeletal pain,musculoskeletal pain,patients,parkinson disease,PD,patients,parkinson disease,PD,participants,PD,PD,PD,musculoskeletal pain,PD,PD,patients,PD,patients,PD,PD,patients,PD,patients,PD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29137082,periodontitis,periodontitis,oral diseases,periodontitis,periodontitis,periodontitis,periodontitis,periodontitis,periodontitis,periodontitis,periodontitis,periodontitis,periodontitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30143020,patients,type 2 diabetes,patients,type 2 diabetes,patients,diabetes,participants,patients,diabetes,patients,patient,patients,diabetes,diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29522912,patients,immune thrombocytopenia,thrombocytopenia,patients,"b, tuberculosis",thyroid diseases,helicobacter pylori,patients,patients,patients,patients,person,hepatitis b,patients,non-traumatic intracerebral hemorrhage,gastrointestinal bleeding,patients,hepatitis b,hepatitis b,tuberculosis,helicobacter pylori infection,hyperthyroidism,hypothyroidism,unspecified,goiter,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31673105,hydrochlorothiazide,skin cancer,hydrochlorothiazide,non-melanoma skin cancer,NMSC,melanoma,hydrochlorothiazide,skin cancer,lip cancer,non-lip non-melanoma skin cancer,melanoma,skin cancer,hydrochlorothiazide,skin cancer,hydrochlorothiazide,HCTZ,lip cancer,non-lip nmsc,melanoma,NMSC,HCTZ,HCTZ,skin cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28199975,breast cancer,breast cancer,cancers,patients,breast cancer,breast cancer,persons,person,breast cancer,person,breast cancer,patients,patients,women,breast cancer,breast cancer,breast cancer,people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29325484,erectile dysfunction,traumatic brain injury,traumatic brain injury,erectile dysfunction,patients,patients,patients,patients,patients,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28288163,tremor,migraine,tremor,migraine,migraineurs,migraine,migraine,migraine,migraine,migraine-free cohort,person,patients,migraine,migraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27540047,patients,end-stage renal disease,cardiac dysrhythmia,end-stage renal disease,ESRD,patients,patients,ESRD,patients,PD,HD,kidney disease,HD,PD,patients,patients,HD,PD,patients,person,HD,PD,patients,person,HD,PD,ahr,HD,PD,patients,dysrhythmia,HD,PD,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26593214,stroke,patients,stroke,patients,stroke,stroke,patients,stroke,patients,poststroke complications,stroke,patients,stroke,patients,stroke,patients,urinary tract infection,pneumonia,epilepsy,gastrointestinal hemorrhage,stroke,urinary tract infection,pneumonia,gastrointestinal hemorrhage,stroke,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29460733,tuberculosis,persons,tuberculosis,persons,persons,person,persons,person,persons,person,persons,persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28687250,primary malignant brain tumors,primary malignant brain tumors,PATIENTS,patients,malignant brain tumors,malignant brain tumors,men,women,malignant brain tumor,person,person,malignant brain tumors,malignant brain tumors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31590116,patients,patients,patients,PARTICIPANTS,patients,patients,PDS,patients,PDS,patients,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31514966,mitral valve prolapse,erectile dysfunction,cardiovascular diseases,erectile dysfunction,mitral valve prolapse,patients,patients,patients,patients,patients,patients,patients,patients,erectile dysfunction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27238189,alcohol,diseases and alcohol dependence syndrome,gout,alcohol,hyperuricemia,gout,gout,patients,alcohol,diseases and alcohol dependence syndrome,gout,gout,patients,alcohol,diseases and alcohol dependence syndrome,alcohol,alcohol,alcohol,gout,alcohol,patients,alcohol dependence syndrome,alcohol dependence,gout,alcohol,patients,benzodiazepines,gout,alcohol dependence syndrome,gout,alcohol,alcohol dependence,patients,gout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30633771,lipid,tuberculosis,patients,lipid,tuberculosis,human,patients,patients,patients,patients,patients,patients,tuberculosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31118242,bipolar disorder,parkinson disease,parkinson disease,PD,patients,bipolar disorder,patients,PD,patients,PD,patients,PD,psychiatric,manic,depressive,PD,patients,PD,manic,depressive,PD,PD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26611115,sudden sensorineural hearing loss,patients,depressive disorders,sudden sensorineural hearing loss,patients,depressive disorders,patients,depressive disorders,depressive disorders,sensorineural hearing loss,sensorineural hearing loss,depressive disorders,depressive disorders,sensorineural hearing loss,patients,diabetes mellitus,chronic kidney disease,hyperlipidaemia,sensorineural hearing loss,patients,depressive disorders,diabetes mellitus,chronic kidney disease,hyperlipidaemia,depressive disorders,sensorineural hearing loss,depressive disorders,sudden sensorineural hearing loss,patients,depressive disorders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28951229,intrahepatic cholangiocarcinoma,patients,chronic hepatitis b,amp,chronic infection,hepatitis b virus,HBV,intrahepatic cholangiocarcinoma,patients,hbv infection,patients,infection with hepatitis c virus,HIV,hepatitis,liver flukes,biliary stone diseases,cholangitis,congenital biliary anomalies,cancer,patients,patients,cirrhosis,hbv infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28434021,pyogenic liver abscess,liver abscess,liver abscess,pyogenic liver abscess,liver abscess,pyogenic liver abscess,liver abscess,pyogenic liver abscess,pyogenic liver abscess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28073770,patients,diabetes mellitus,patients,diabetes mellitus,patients,diabetes mellitus,patients,atenolol,bisoprolol,metoprolol,carvedilol,patients,diabetes mellitus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31766214,glaucoma,chronic rhinosinusitis,glaucoma,chronic rhinosinusitis,CRS,CRS,CRS,CRS,patients,patient,legal blindness,ocular tumor,glaucoma,glaucoma,patients,CRS,CRS,glaucoma,glaucoma,CRS,open-angle glaucoma,glaucoma,CRS,glaucoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29843917,mitral valve,infective endocarditis,mitral valve,patients,infective endocarditis,patients,patients,patients,patients,patients,stroke,bleeding,heart failure,patients,patients,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27774322,traumatic brain injury,substance related disorder,traumatic brain injury,SRD,persons,mental disorders,patients,patients,SRD,cox,SRD,patients,patients,SRD,patients,SRD,patients,alcohol,SRD,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28759627,trauma,patients,allergic rhinitis,allergic rhinitis,traumatic dental injuries,patients,patients,patients,patients,patients,TDI,patients,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29577672,cancer,patients,alopecia areata,autoimmune disorder,cancer,cancer,cancer,patients,cancers,cancer,cancers,patients,cancers,cancer,patients,cancer,cancer,nonmelanoma skin cancer,upper gi cancer,liver cancer,cervix cancer,patients,patients,lymphoma,breast cancer,kidney,urinary bladder cancer,patients,breast cancer,autoimmune disorders,cancer,patients,autoimmune disorders,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26765434,diabetes,acute pancreatitis,acute pancreatitis,diabetes,diabetes,diabetes,diabetic,patients,diabetic,patients,diabetes,patients,patients,diabetes,diabetic,patients,hyperglycemic,diabetes,patients,patients,patients,diabetes,diabetic,patients,hces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28199356,dementia,dementia,patients,dementia,dementia,dementia,participants,dementia,dementia,dementia,dementia,depression,hyperlipidemia,ischemic heart disease,hypertension,dementia,dementia,dementia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27336897,congestive heart failure,pneumoconiosis,congestive heart failure,CHF,patients,pneumoconiosis,patients,CHF,CHF,CHF,pneumoconiosis cohort,person,nonpneumoconiosis cohort,person,CHF,pneumoconiosis,nonpneumoconiosis cohort,CHF,pneumoconiosis cohort,nonpneumoconiosis cohort,men,CHF,pneumoconiosis,patients,CHF,patients,pneumoconiosis,CHF,patients,nonpneumoconiosis cohort,coronary artery disease,hypertension,chronic obstructive pulmonary disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30192890,herbal medicine,stroke,patients,parkinson's disease,parkinson's disease,PD,stroke,stroke,PD,patients,stroke,patients,PD,patients,herbal medicine,CHM,CHM,PD,patients,CHM,stroke,stroke,PD,patients,CHM,CHM,person,person,PD,patients,CHM,stroke,CHM,CHM,ren,PD,CHM,stroke,PD,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28856767,hemorrhagic stroke,patients,AMD,eye disease,blindness,cardiovascular diseases,AMD,stroke,AMD,stroke,patients,stroke,myocardial infarction,AMD,ICD,patients,stroke,ICD,hemorrhagic,ischemic,acute myocardial infarction,stroke,patients,stroke,hemorrhagic stroke,ischemic stroke,stroke,patients,stroke,hemorrhagic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28801847,patients,schizophrenia,schizophrenia,mental disorder,patients,schizophrenia,patients,schizophrenia,persons,patients,schizophrenia,patients,participants,delay disability and functional degeneration in schizophrenic,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28810160,psychosocial distress,club drug,'club',psychosocial,participants,ketamine,marijuana,methamphetamine,alcohol,tobacco,club drug,alcohol,sexual partnerships,depressive,psychosocial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26945404,cerebrovascular events,patients,parenchymal lung disease,pneumoconiosis,cerebrovascular,patients,pneumoconiosis,patients,pneumoconiosis,pneumoconiosis,cox,pneumoconiosis,cerebrovascular,patients,pneumoconiosis,ischemic stroke,pneumoconiosis,hemorrhagic stroke,pneumoconiosis,patients,pneumoconiosis,nonpneumoconiosis groups in acute coronary syndrome,pneumoconiosis,cerebrovascular events,stroke,pneumoconiosis,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27512856,women,women,woman,obese,depressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30048527,autoimmune rheumatic diseases,patients,palindromic rheumatism,autoimmune rheumatic diseases,rheumatoid arthritis,RA,systemic lupus erythematosus,SLE,systemic sclerosis,sjogren's syndrome,dermatomyositis,DM,polymyositis,patients,palindromic rheumatism,RA,SLE,DM,RA,SLE,DM,patients,patients,RA,SLE,DM,patients,RA,SLE,DM,patients,RA,SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26614589,patients,chronic hepatitis b virus infection,patients,chronic hepatitis b virus infection,patients,patients,pneumonia,respiratory failure,patients,chronic hbv infection,hbv-infected,patients,person,pneumonia,patients,chronic hbv infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28076967,chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,people,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29425383,tobacco,tobacco,tobacco,tobacco,tobacco,tobacco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28073582,inflammatory bowel disease,patients,rosacea,rosacea,inflammatory bowel disease,patients,rosacea,patients,rosacea,rosacea,patients,rosacea,alcohol,patients,rosacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29247973,children,premature death,children,children,methadone,death,SMR,children,death,injury and accident,premature death,premature death,methadone,death,premature death,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28837085,participants,tobacco,alcohol,alcohol,participants,tobacco,alcohol,tobacco,alcohol,tobacco,alcohol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31118004,CEX,PGY1,PGY1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26662347,hepatitis c viral infection increases,lymphoid-neoplasms,chronic hepatitis c viral (hcv) infection,non-hodgkin's lymphoma,lymphoid-neoplasms,hcv infection,lymphoid-neoplasms,patients,chronic hcv infection,malignancies,hepatitis b,human immunodeficiency virus,rheumatological disorders,diabetes,lymphoid-neoplasms,patients,lymphoid-neoplasms,person,lymphoid-neoplasms,hcv infection,lymphoid-neoplasms,hcv infection,lymphoid-neoplasms,patients,lymphoid-neoplasms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30412060,infections,depressive disorder,depressive disorder,mental disorder,cognitive impairment,infections,psychiatric illnesses,depressive disorder,immunodeficiency virus (hiv) infection,gonorrhea,infection,patients,depressive disorder,patients,depressive disorder,depression,patients,patients,depressive disorder,depressed,patients,patients,depression,patient,patients,depressive disorder,hiv infection,gonorrhea,infection,trichomoniasis.depressive disorder,hiv infection,gonorrhea,infection,depression,patients,depression,patients,sexual behaviors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30276769,diabetes,diabetes,chronic disease,patients,diabetes,patients,glucose,cholesterol,diabetes,blindness,patient,diabetes,patients,patients,diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32092112,obstructive pulmonary disease,asthma,pneumonia,chronic obstructive pulmonary disease,COPD,asthma,steroid,pneumonia,patients,pneumonia,COPD,asthma,patients,COPD,patients,pneumonia,pneumonia,COPD,asthma cohort,COPD,COPD,COPD,asthma cohort,COPD,asthma cohort,COPD,steroids,oss,COPD,asthma cohort,oss,oss,COPD,asthma,pneumonia,COPD,pneumonia,COPD,asthma,pneumonia,oss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31454569,myopia,myopia,children,myopia,myopia,PM2,nitrogen oxides,nox,person,myopia,nox,myopia,inflammation,resveratrol,resveratrol,myopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26961997,hydrocephalus,patients,hydrocephalus,end-stage renal disease,ESRD,patients,ESRD,patients,PD,patients,HD,patients,people,kidney disease,ESRD,patients,PD,HD,patients,hydrocephalus,hydrocephalus,HD,PD,patients,person,ESRD,patients,hydrocephalus,patients,hydrocephalus,ESRD,patients,hydrocephalus,HD,PD,patients,hydrocephalus,HD,patients,PD,patients,patients,ESRD,hydrocephalus,HD,PD,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31348269,papillary balloon dilation decreases,bleeding,patients,papillary balloon dilation,bleeding,insufficient,bleeding,patients,bleeding,patients,bleeding,patients,patients,patients,men,bleeding,patients,bleeding,renal function impairment,"renal function impairment, hepatic encephalopathy",bleeding esophageal,ascites,hepatocellular carcinoma,biliary malignancy,pancreatic malignancy,hemorrhage,patients,cirrhosis,renal function impairment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31770243,colorectal cancer,zolpidem,colorectal cancer,zolpidem,participants,colorectal cancer,participants,colorectal cancer,colorectal cancer,zolpidem,colorectal cancer,colorectal cancer,participants,colorectal cancer,zolpidem,colorectal cancer,zolpidem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28126434,atopic dermatitis,allergic diseases,atopic dermatitis,AD,AD,patients,AD,allergic diseases,AD,AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30660021,inflammatory bowel disease,bipolar disorder,inflammatory bowel disease,bipolar disorder,patients,patients,patients,patients,patients,ulcerative colitis,patients,patients,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29427001,benign prostatic hyperplasia,bladder cancer,benign prostatic hyperplasia,bladder cancer,bladder cancer,patients,bladder cancer,person,bladder cancer,bladder cancer,patients,bladder cancer,person,bladder cancer,patients,patients,chronic kidney disease,bladder cancer,bladder cancer,patients,bladder cancer,patients,bladder cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27756361,pediatric appendiceal abscess,appendiceal abscess,children,patients,appendiceal abscess,patient,children,appendiceal abscess,patients,patients,patients,appendicitis,patients,appendicitis,children,patients,appendicitis,patients,appendiceal abscess,appendicitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29746578,respiratory syncytial virus infections,infants,respiratory syncytial virus,RSVH,infants,bronchopulmonary dysplasia,RSVH,infants,RSVH,RSVH,infants,infants,RSVH,infants,infants,RSVH,infants,RSVH,RSVH,infants,RSVH,infants,RSVH,RSVH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28646854,pulmonary tuberculosis,pulmonary tuberculosis,patients,pulmonary tuberculosis,patients,pulmonary tuberculosis,patients,patients,patients,patients,tuberculosis,tuberculosis,pulmonary tuberculosis,pulmonary tuberculosis,pulmonary tuberculosis,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30804144,colorectal cancer,patients,colorectal cancer,patients,sleep disorders,participants,colorectal cancer,sleep disorders,colorectal cancer,patients,sleep disorders,patients,colorectal cancer,patients,sleep disorders,colorectal cancer,patients,sleep disorders,depression,colorectal cancer,patients,sleep disorders,sleep disorders,depression,colorectal cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29157231,hernia,hernia,patients,contralateral inguinal hernia,hernia,patients,patients,unilateral inguinal hernia,hernia,hernia,patients,CIH,hernia operation,patients,CIH,inguinal hernia,"hernia, cirrhosis",liver disease,prostate disease,congestive heart failure,malignancy,CIH,patients,CIH,CIH,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29782526,pneumonia,stroke,patients,stroke,patients,stroke pneumonia,pneumonia,stroke,patients,stroke,patients,acupuncture post-stroke,pneumonia,pneumonia,stroke,patients,pneumonia,stroke,patients,pneumonia,person,pneumonia,men,women,stroke,patients,pneumonia,pneumonia,stroke,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27435692,ADHD,children,attention-deficit/hyperactivity disorder,ADHD,ADHD,ADHD,ADHD,patients,ADHD,ADHD,ADHD,methylphenidate,methylphenidate,atomoxetine,ADHD,children,ADHD,children,ADHD,ADHD,ADHD,patients,patients,ADHD,ADHD,ADHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29166672,dementia,dementia,patients,patients,patient,patients,dementia,dementia,patients,patients,dementia,person,patients,patients,dementia,patients,patients,patients,patients,patients,dementia,patients,crude hr of dementia,patients,patients,dementia,dementia,patients,cognitive impairment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32017810,stroke,patients,stroke,death,stroke,neuralgia,stroke,patients,stroke,stroke,patients,stroke,stroke,stroke,hemorrhagic stroke,ischemic stroke,hemorrhagic,IRR,ischemic,IRR,hemorrhagic stroke,patients,IRR,ischemic stroke,patients,neuralgia,IRR,stroke,pain,stroke,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30082816,patients,patients,patients,patients,patient,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31279334,systemic lupus erythematosus,patients,systemic lupus erythematosus,SLE,musculoskeletal system involvement,joint damage,arthroplasty,patients,SLE,patients,SLE,patients,SLE,patients,SLE,patient,SLE,patients,SLE,patients,SLE,patients,SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28229293,hearing loss,dementia,hearing loss,dementia,dementia,patients,patients,dementia,patients,patients,dementia,CI 1.14-1.49,patients,liver disease,cirrhosis,rheumatoid arthritis,hypertension,diabetes mellitus,stroke,head injury,chronic kidney disease,coronary artery disease,alcohol abuse,tobacco,dementia,patients,dementia,patients,hearing loss,dementia,dementia symptoms,dementia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29572399,patients,primary open-angle glaucoma,open-angle glaucoma,patients,patients,patients,ocular disorders,patients,patients,acute renal failure,ARF,end-stage renal disease,ESRD,,ARF,ESRD,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27448674,pulmonary embolism,patients,end-stage renal disease,pulmonary embolism,patients,kidney disease,end-stage renal disease,patients,PD,patients,HD,patients,patients,person,HD,patients,PD,patients,HD,patients,person,patients,patients,kidney disease,HD,patients,PD,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30977931,ischaemic heart disease,cerebrovascular disease,psoriasis,patients,depression,cardiovascular and cerebrovascular diseases,depression,psoriasis,patients,ischaemic heart disease,cerebrovascular disease,psoriasis,patients,depression,psoriasis,patients,depression,psoriasis,patients,depression,psoriasis,patients,depression,psoriasis,patients,depression,ischaemic heart disease,RR 1,cerebrovascular disease,ischaemic heart disease,cerebrovascular disease,RR 1,psoriasis,patients,depression,ischaemic heart disease,cerebrovascular disease,depression,ischaemic heart disease,cerebrovascular disease,patients,psoriasis,psoriasis,patients,depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27262640,anxiety disorders,stroke,patients,diabetes,diabetes,anxiety disorders,stroke,stroke,diabetic,patients,anxiety,anxiety,anxiety,stroke,patients,diabetes,diabetes,anxiety disorder,stroke,anxiety,anxiety,anxiety,anxiety,stroke,patients,diabetes,patients,anxiety disorders,diabetic,patients,anxiety,stroke,patients,anxiety,anxiety,diabetes,stroke,anxiety,patients,diabetes,anxiety disorders,stroke,patients,diabetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30589620,bleeding,patients,PATIENTS,patients,100 infections,bleeding,diabetes mellitus,patients,diabetes,outpatient,patients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28087547,pneumonia,patients,fractures,fractures,chest traumas,pneumonia,pneumonia,patients,blunt chest traumas,patients,PARTICIPANTS,non-traumatic,patients,diabetes,hypertension,cardiovascular disease,asthma and chronic obstructive pulmonary disease,COPD,patients,non-traumatic,patients,pneumonia,pneumonia,ahr,pneumonia,ahr,COPD,ahr,pneumonia,fractures,pneumonia,pneumonia,patients,fractures,pneumonia,patients,COPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27936468,rosiglitazone,breast cancer,patients,type 2 diabetes mellitus,rosiglitazone,breast cancer,patients,type 2 diabetes mellitus,patients,type 2 diabetes mellitus,oral antidiabetic,patients,breast cancer,rosiglitazone,cox,breast cancer,person,metformin,rosiglitazone,patients,rosiglitazone,breast cancer,patients,type 2 diabetes mellitus,metformin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30127260,depression,autoimmune diseases,postpartum depression,autoimmune diseases,patients,women,patients,patients,patients,autoimmune diseases,women,patients,autoimmune diseases,patients,autoimmune diseases,anemia,rheumatoid arthritis,graves' disease,patients,autoimmune diseases,anemia,rheumatoid arthritis,graves' disease,autoimmune diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
