PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27377896","Effects of combination approach on harm reduction programs: the Taiwan experience","Lin T, Chen CH, Chou P.","Harm Reduct J. 2016 Jul 4;13(1):23. doi: 10.1186/s12954-016-0112-3.","Lin T","Harm Reduct J","2016","2016/07/06","PMC4932706","","10.1186/s12954-016-0112-3"
"28813433","Diabetes risks and outcomes in chronic obstructive pulmonary disease patients: Two nationwide population-based retrospective cohort studies","Lin CS, Liu CC, Yeh CC, Chang YC, Chung CL, Lane HL, Shih CC, Chen TL, Liao CC.","PLoS One. 2017 Aug 16;12(8):e0181815. doi: 10.1371/journal.pone.0181815. eCollection 2017.","Lin CS","PLoS One","2017","2017/08/17","PMC5558949","","10.1371/journal.pone.0181815"
"28916233","Risk of pneumonia in patients with insomnia: A nationwide population-based retrospective cohort study","Lin CL, Liu TC, Chung CH, Chien WC.","J Infect Public Health. 2018 Mar-Apr;11(2):270-274. doi: 10.1016/j.jiph.2017.08.002. Epub 2017 Sep 12.","Lin CL","J Infect Public Health","2018","2017/09/17","","","10.1016/j.jiph.2017.08.002"
"31462180","A longitudinal, cross-lagged panel analysis of loneliness and depression among community-based older adults","Hsueh YC, Chen CY, Hsiao YC, Lin CC.","J Elder Abuse Negl. 2019 Aug-Dec;31(4-5):281-293. doi: 10.1080/08946566.2019.1660936. Epub 2019 Aug 28.","Hsueh YC","J Elder Abuse Negl","2019","2019/08/30","","","10.1080/08946566.2019.1660936"
"30060567","Risk of Appendicitis among Children with Different Piped Water Supply: A Nationwide Population-Based Study","Li HM, Liu SZ, Huang YK, Su YC, Kao CH.","Int J Environ Res Public Health. 2018 Jul 28;15(8):1601. doi: 10.3390/ijerph15081601.","Li HM","Int J Environ Res Public Health","2018","2018/08/01","PMC6121532","","10.3390/ijerph15081601"
"28257796","All-Cause and Cause-Specific Mortality in Patients with Psoriasis in Taiwan: A Nationwide Population-Based Study","Lee MS, Yeh YC, Chang YT, Lai MS.","J Invest Dermatol. 2017 Jul;137(7):1468-1473. doi: 10.1016/j.jid.2017.01.036. Epub 2017 Feb 28.","Lee MS","J Invest Dermatol","2017","2017/03/05","","","10.1016/j.jid.2017.01.036"
"26817903","Postoperative Adverse Outcomes in Patients With Asthma: A Nationwide Population-based Cohort Study","Lin CS, Chang CC, Yeh CC, Chung CL, Chen TL, Liao CC.","Medicine (Baltimore). 2016 Jan;95(3):e2548. doi: 10.1097/MD.0000000000002548.","Lin CS","Medicine (Baltimore)","2016","2016/01/29","PMC4998277","","10.1097/MD.0000000000002548"
"27666578","Risk of tinnitus in patients with sleep apnea: A nationwide, population-based, case-control study","Koo M, Hwang JH.","Laryngoscope. 2017 Sep;127(9):2171-2175. doi: 10.1002/lary.26323. Epub 2016 Sep 26.","Koo M","Laryngoscope","2017","2016/09/27","","","10.1002/lary.26323"
"28188252","Long-Term Risk of Cardiovascular Events in Patients With Chronic Kidney Disease Who Have Survived Sepsis: A Nationwide Cohort Study","Shih CJ, Chao PW, Ou SM, Chen YT.","J Am Heart Assoc. 2017 Feb 10;6(2):e004613. doi: 10.1161/JAHA.116.004613.","Shih CJ","J Am Heart Assoc","2017","2017/02/12","PMC5523761","","10.1161/JAHA.116.004613"
"30880092","Correlation between diabetes mellitus and periodontitis in Taiwan: A nationwide cohort study","Lee CY, Kuan YH, Tsai YF, Tai CJ, Tsai TH, Huang KH.","Diabetes Res Clin Pract. 2019 Apr;150:245-252. doi: 10.1016/j.diabres.2019.03.019. Epub 2019 Mar 14.","Lee CY","Diabetes Res Clin Pract","2019","2019/03/19","","","10.1016/j.diabres.2019.03.019"
"30052590","Prevalence and Predictors of Depression Among People Living With HIV/AIDS: A National Study","Lu HF, Hsiao FH, Sheng WH, Liao SC, Wu PY, Yang YL, Chang NT.","Nurs Res. 2018 Sep/Oct;67(5):379-386. doi: 10.1097/NNR.0000000000000288.","Lu HF","Nurs Res","2018","2018/07/28","","","10.1097/NNR.0000000000000288"
"28737121","The impact of cancer development on the risk of mycobacterial diseases among rheumatoid arthritis patients","Pan SW, Yen YF, Kou YR, Chuang PH, Feng JY, Chan YJ, Su WJ.","Epidemiol Infect. 2017 Sep;145(12):2482-2490. doi: 10.1017/S0950268817001534. Epub 2017 Jul 24.","Pan SW","Epidemiol Infect","2017","2017/07/25","","","10.1017/S0950268817001534"
"30201734","Incidence and risk of major heart diseases in middle-aged adults with moderate to severe vision impairment: a population-based cohort study","Hsueh CM, Wey JH, Yeh JS, Wu CH, Liou TH, Chang KH.","Br J Ophthalmol. 2019 Aug;103(8):1054-1059. doi: 10.1136/bjophthalmol-2018-312471. Epub 2018 Sep 10.","Hsueh CM","Br J Ophthalmol","2019","2018/09/12","","","10.1136/bjophthalmol-2018-312471"
"27064246","Association of traumatic brain injury in childhood and attention-deficit/hyperactivity disorder: a population-based study","Yang LY, Huang CC, Chiu WT, Huang LT, Lo WC, Wang JY.","Pediatr Res. 2016 Sep;80(3):356-62. doi: 10.1038/pr.2016.85. Epub 2016 Apr 11.","Yang LY","Pediatr Res","2016","2016/04/12","","","10.1038/pr.2016.85"
"27580216","Atrial fibrillation, liver disease, antithrombotics and risk of cerebrovascular events: A population-based cohort study","Lai HC, Chien WC, Chung CH, Lee WL, Wu TJ, Wang KY, Liu CN, Liu TJ.","Int J Cardiol. 2016 Nov 15;223:829-837. doi: 10.1016/j.ijcard.2016.08.297. Epub 2016 Aug 21.","Lai HC","Int J Cardiol","2016","2016/09/01","","","10.1016/j.ijcard.2016.08.297"
"28353494","Increased Risk of Tics in Children Infected with Enterovirus: A Nationwide Population-Based Study","Lin JN, Lin CL, Yen HR, Yang CH, Lai CH, Lin HH, Kao CH.","J Dev Behav Pediatr. 2017 May;38(4):276-282. doi: 10.1097/DBP.0000000000000435.","Lin JN","J Dev Behav Pediatr","2017","2017/03/30","","","10.1097/DBP.0000000000000435"
"27486978","Metformin use and cervical cancer risk in female patients with type 2 diabetes","Tseng CH.","Oncotarget. 2016 Sep 13;7(37):59548-59555. doi: 10.18632/oncotarget.10934.","Tseng CH","Oncotarget","2016","2016/08/04","PMC5312330","","10.18632/oncotarget.10934"
"30037624","Risk of gastric cancer following percutaneous endoscopic gastrostomy: A nationwide population-based cohort study","Tsao CC, Lee SY, Chang WK, Lin KT, Hsu SD, Tsai CL, Lin CS.","Med Hypotheses. 2018 Sep;118:93-97. doi: 10.1016/j.mehy.2018.06.028. Epub 2018 Jun 28.","Tsao CC","Med Hypotheses","2018","2018/07/25","","","10.1016/j.mehy.2018.06.028"
"29923012","Pelvic organ prolapse surgery following hysterectomy with benign indication: a national cohort study in Taiwan","Huang HK, Ding DC.","Int Urogynecol J. 2018 Nov;29(11):1669-1674. doi: 10.1007/s00192-018-3689-0. Epub 2018 Jun 19.","Huang HK","Int Urogynecol J","2018","2018/06/21","","","10.1007/s00192-018-3689-0"
"30734582","The Epidemiology of Benign Voice Disorders in Taiwan: A Nationwide Population-Based Study","Lai YT, Wang YH, Yen YC, Yu TY, Chao PZ, Lee FP, Dailey S.","Ann Otol Rhinol Laryngol. 2019 May;128(5):406-412. doi: 10.1177/0003489419826136. Epub 2019 Feb 8.","Lai YT","Ann Otol Rhinol Laryngol","2019","2019/02/09","","","10.1177/0003489419826136"
"31815145","Gender and Age Differences and the Trend in the Incidence and Prevalence of Dementia and Alzheimer's Disease in Taiwan: A 7-Year National Population-Based Study","Liu CC, Li CY, Sun Y, Hu SC.","Biomed Res Int. 2019 Nov 11;2019:5378540. doi: 10.1155/2019/5378540. eCollection 2019.","Liu CC","Biomed Res Int","2019","2019/12/10","PMC6878786","","10.1155/2019/5378540"
"28129999","Long-term risk of stroke in type 2 diabetes patients with diabetic ketoacidosis: A population-based, propensity score-matched, longitudinal follow-up study","Chen YL, Weng SF, Yang CY, Wang JJ, Tien KJ.","Diabetes Metab. 2017 Jun;43(3):223-228. doi: 10.1016/j.diabet.2016.11.003. Epub 2017 Jan 24.","Chen YL","Diabetes Metab","2017","2017/01/29","","","10.1016/j.diabet.2016.11.003"
"30422689","Finding diseases associated with amyotrophic lateral sclerosis: a total population-based case-control study","Tsai CP, Hu C, Lee CT.","Amyotroph Lateral Scler Frontotemporal Degener. 2019 Feb;20(1-2):82-89. doi: 10.1080/21678421.2018.1522354. Epub 2018 Nov 13.","Tsai CP","Amyotroph Lateral Scler Frontotemporal Degener","2019","2018/11/14","","","10.1080/21678421.2018.1522354"
"26338181","The association between urinary calculi and increased risk of future cardiovascular events: A nationwide population-based study","Hsu CY, Chen YT, Huang PH, Leu HB, Su YW, Chiang CH, Chen JW, Chen TJ, Lin SJ, Chan WL.","J Cardiol. 2016 May;67(5):463-70. doi: 10.1016/j.jjcc.2015.07.016. Epub 2015 Aug 31.","Hsu CY","J Cardiol","2016","2015/09/05","","","10.1016/j.jjcc.2015.07.016"
"26586483","Effects of various antimicrobial stewardship programs on antimicrobial usage and resistance among common gram-negative bacilli causing health care-associated infections: A multicenter comparison","Lai CC, Shi ZY, Chen YH, Wang FD.","J Microbiol Immunol Infect. 2016 Feb;49(1):74-82. doi: 10.1016/j.jmii.2015.05.011. Epub 2015 Jun 27.","Lai CC","J Microbiol Immunol Infect","2016","2015/11/21","","","10.1016/j.jmii.2015.05.011"
"27231197","Association between previous history of gout attack and risk of deep vein thrombosis - a nationwide population-based cohort study","Chiu CC, Chen YT, Hsu CY, Chang CC, Huang CC, Leu HB, Li SY, Kuo SC, Huang PH, Chen JW, Lin SJ.","Sci Rep. 2016 May 27;6:26541. doi: 10.1038/srep26541.","Chiu CC","Sci Rep","2016","2016/05/28","PMC4882589","","10.1038/srep26541"
"30188943","Alcohol use disorder tied to development of chronic kidney disease: A nationwide database analysis","Pan CS, Ju TR, Lee CC, Chen YP, Hsu CY, Hung DZ, Chen WK, Wang IK.","PLoS One. 2018 Sep 6;13(9):e0203410. doi: 10.1371/journal.pone.0203410. eCollection 2018.","Pan CS","PLoS One","2018","2018/09/07","PMC6126842","","10.1371/journal.pone.0203410"
"28276869","Comorbidities and risk of mortality in patients with sleep apnea","Chiang CL, Chen YT, Wang KL, Su VY, Wu LA, Perng DW, Chang SC, Chen YM, Chen TJ, Chou KT.","Ann Med. 2017 Aug;49(5):377-383. doi: 10.1080/07853890.2017.1282167. Epub 2017 Feb 10.","Chiang CL","Ann Med","2017","2017/03/10","","","10.1080/07853890.2017.1282167"
"31152025","Trend and risk factors of recurrence and complications after arrhythmias radiofrequency catheter ablation: a nation-wide observational study in Taiwan","Lin Y, Wu HK, Wang TH, Chen TH, Lin YS.","BMJ Open. 2019 May 30;9(5):e023487. doi: 10.1136/bmjopen-2018-023487.","Lin Y","BMJ Open","2019","2019/06/02","PMC6549656","","10.1136/bmjopen-2018-023487"
"26678007","CHADS2 Scores as a Predictor of Ischemic Stroke in Patients With Peripheral Artery Disease","Yang YW, Chen YH, Hsu CC, Lee CC, Kuo YH, Chuang HY, Hsieh TF.","Mayo Clin Proc. 2016 Jan;91(1):45-50. doi: 10.1016/j.mayocp.2015.09.021. Epub 2015 Dec 8.","Yang YW","Mayo Clin Proc","2016","2015/12/19","","","10.1016/j.mayocp.2015.09.021"
"30332806","Association between Dry Eye Disease, Air Pollution and Weather Changes in Taiwan","Zhong JY, Lee YC, Hsieh CJ, Tseng CC, Yiin LM.","Int J Environ Res Public Health. 2018 Oct 16;15(10):2269. doi: 10.3390/ijerph15102269.","Zhong JY","Int J Environ Res Public Health","2018","2018/10/19","PMC6210160","","10.3390/ijerph15102269"
"31145020","Increased Risk of Polycystic Ovary Syndrome in Taiwanese Women with Chronic Periodontitis: A Nationwide Population-Based Retrospective Cohort Study","Tong C, Wang YH, Yu HC, Chang YC.","J Womens Health (Larchmt). 2019 Oct;28(10):1436-1441. doi: 10.1089/jwh.2018.7648. Epub 2019 May 30.","Tong C","J Womens Health (Larchmt)","2019","2019/05/31","","","10.1089/jwh.2018.7648"
"31513648","Impact of major illnesses and geographic regions on do-not-resuscitate rate and its potential cost savings in Taiwan","Cheng MT, Shih FY, Tsai CL, Tsai HB, Tsai DF, Fang CC.","PLoS One. 2019 Sep 12;14(9):e0222320. doi: 10.1371/journal.pone.0222320. eCollection 2019.","Cheng MT","PLoS One","2019","2019/09/13","PMC6742372","","10.1371/journal.pone.0222320"
"30303835","Risk of Sepsis and Mortality Among Patients With Chronic Obstructive Pulmonary Disease Treated With Angiotensin-Converting Enzyme Inhibitors or Angiotensin Receptor Blockers","Lai CC, Wang YH, Wang CY, Wang HC, Yu CJ, Chen L; on the behalf of Taiwan Clinical Trial Consortium for Respiratory Diseases (TCORE).","Crit Care Med. 2019 Jan;47(1):e14-e20. doi: 10.1097/CCM.0000000000003475.","Lai CC","Crit Care Med","2019","2018/10/11","","","10.1097/CCM.0000000000003475"
"29734656","Association between Peptic Ulcer Disease and Periodontitis: A Nationwide Population-Based Case-Control Study in Taiwan","Yu HC, Chen TP, Wei CY, Chang YC.","Int J Environ Res Public Health. 2018 May 4;15(5):912. doi: 10.3390/ijerph15050912.","Yu HC","Int J Environ Res Public Health","2018","2018/05/09","PMC5981951","","10.3390/ijerph15050912"
"27941418","Comparative Risk of Ventricular Arrhythmia and Sudden Cardiac Death Across Antidepressants in Patients With Depressive Disorders","Wu CS, Tsai YT, Hsiung CA, Tsai HJ.","J Clin Psychopharmacol. 2017 Feb;37(1):32-39. doi: 10.1097/JCP.0000000000000631.","Wu CS","J Clin Psychopharmacol","2017","2016/12/13","","","10.1097/JCP.0000000000000631"
"30908962","A longitudinal study of healthcare utilisation and expenditure in people with type 2 diabetes mellitus with and without major depressive disorder","Huang CJ, Lin CH, Hsieh HM, Chang CC, Chu CC, Sun DP, Weng SF.","Gen Hosp Psychiatry. 2019 Mar-Apr;57:50-58. doi: 10.1016/j.genhosppsych.2018.09.007. Epub 2018 Oct 30.","Huang CJ","Gen Hosp Psychiatry","2019","2019/03/26","","","10.1016/j.genhosppsych.2018.09.007"
"29193638","Delayed diagnosis of atrial fibrillation after first-ever stroke increases recurrent stroke risk: a 5-year nationwide follow-up study","Chou PS, Ho BL, Chan YH, Wu MH, Hu HH, Chao AC.","Intern Med J. 2018 Jun;48(6):661-667. doi: 10.1111/imj.13686.","Chou PS","Intern Med J","2018","2017/12/02","","","10.1111/imj.13686"
"27389437","No increased risk of hospitalization for heart failure for patients treated with dipeptidyl peptidase-4 inhibitors in Taiwan","Chang CH, Chang YC, Lin JW, Caffrey JL, Wu LC, Lai MS, Chuang LM.","Int J Cardiol. 2016 Oct 1;220:14-20. doi: 10.1016/j.ijcard.2016.06.125. Epub 2016 Jun 24.","Chang CH","Int J Cardiol","2016","2016/07/09","","","10.1016/j.ijcard.2016.06.125"
"30607465","Association and risk factors of chronic kidney disease and incident diabetes: a nationwide population-based cohort study","Lin CY, Hsieh MC, Kor CT, Hsieh YP.","Diabetologia. 2019 Mar;62(3):438-447. doi: 10.1007/s00125-018-4788-7. Epub 2019 Jan 3.","Lin CY","Diabetologia","2019","2019/01/05","","","10.1007/s00125-018-4788-7"
"30242456","The Risk of Erectile Dysfunction Following Pelvic Angiographic Embolization in Pelvic Fracture Patients: A Nationwide Population-Based Cohort Study in Taiwan","Hsu SD, Chen CJ, Wang ID, Lin KT, Wang CC, Chien WC, Chung CH, Chang WK.","World J Surg. 2019 Feb;43(2):476-485. doi: 10.1007/s00268-018-4803-7.","Hsu SD","World J Surg","2019","2018/09/23","","","10.1007/s00268-018-4803-7"
"31260487","Influenza vaccination and secondary prevention of cardiovascular disease among Taiwanese elders-A propensity score-matched follow-up study","Wu HH, Chang YY, Kuo SC, Chen YT.","PLoS One. 2019 Jul 1;14(7):e0219172. doi: 10.1371/journal.pone.0219172. eCollection 2019.","Wu HH","PLoS One","2019","2019/07/02","PMC6602195","","10.1371/journal.pone.0219172"
"31852074","Tocolysis and the risk of nonreassuring fetal status among pregnant women in labor: Findings from a population-based retrospective cohort study","Wang IT, Tsai MT, Erickson SR, Wu CH.","Medicine (Baltimore). 2019 Dec;98(50):e18190. doi: 10.1097/MD.0000000000018190.","Wang IT","Medicine (Baltimore)","2019","2019/12/20","PMC6922469","","10.1097/MD.0000000000018190"
"29284721","Migraine and subsequent chronic kidney disease risk: a nationwide population-based cohort study","Weng SC, Wu CL, Kor CT, Chiu PF, Wu MJ, Chang CC, Tarng DC.","BMJ Open. 2017 Dec 27;7(12):e018483. doi: 10.1136/bmjopen-2017-018483.","Weng SC","BMJ Open","2017","2017/12/30","PMC5770945","","10.1136/bmjopen-2017-018483"
"30601079","The Impact of Hemodialysis on Terminal Cancer Patients in Hospices: A Nationwide Retrospective Study in Taiwan","Kang SC, Lin CC, Chen YC, Wang WS.","J Palliat Med. 2019 Feb;22(2):188-192. doi: 10.1089/jpm.2018.0299. Epub 2019 Jan 2.","Kang SC","J Palliat Med","2019","2019/01/03","","","10.1089/jpm.2018.0299"
"29947768","Association of Hypothyroidism With All-Cause Mortality: A Cohort Study in an Older Adult Population","Huang HK, Wang JH, Kao SL.","J Clin Endocrinol Metab. 2018 Sep 1;103(9):3310-3318. doi: 10.1210/jc.2018-00408.","Huang HK","J Clin Endocrinol Metab","2018","2018/06/28","","","10.1210/jc.2018-00408"
"29718849","The comorbidities and risk factors in children with congenital airway anomalies: A nationwide population-based study in Taiwan","Lee YS, Tsao PC, Jeng MJ, Soong WJ.","Medicine (Baltimore). 2018 May;97(18):e0561. doi: 10.1097/MD.0000000000010561.","Lee YS","Medicine (Baltimore)","2018","2018/05/03","PMC6392904","","10.1097/MD.0000000000010561"
"28148250","Temporal relationship between dysthymia and temporomandibular disorder: a population-based matched case-control study in Taiwan","Lin SL, Wu SL, Ko SY, Yen CY, Chiang WF, Yang JW.","BMC Oral Health. 2017 Feb 1;17(1):50. doi: 10.1186/s12903-017-0343-z.","Lin SL","BMC Oral Health","2017","2017/02/03","PMC5289025","","10.1186/s12903-017-0343-z"
"26768128","Disease burden of enterovirus infection in Taiwan: Implications for vaccination policy","Liu DP, Wang TA, Huang WT, Chang LY, Wang ET, Cheng SH, Yang MC.","Vaccine. 2016 Feb 10;34(7):974-80. doi: 10.1016/j.vaccine.2015.12.026. Epub 2016 Jan 6.","Liu DP","Vaccine","2016","2016/01/16","","","10.1016/j.vaccine.2015.12.026"
"26919462","Association Between Parkinson's Disease and Inflammatory Bowel Disease: a Nationwide Taiwanese Retrospective Cohort Study","Lin JC, Lin CS, Hsu CW, Lin CL, Kao CH.","Inflamm Bowel Dis. 2016 May;22(5):1049-55. doi: 10.1097/MIB.0000000000000735.","Lin JC","Inflamm Bowel Dis","2016","2016/02/27","","","10.1097/MIB.0000000000000735"
"32080143","Low ambient temperatures correlate with increased risk of hypoglycemia in patients with type 2 diabetes: An ecological study in Taiwan","Lai SW, Chang WC, Lin CL, Chou IC, Tsai FJ, Lai YJ.","Medicine (Baltimore). 2020 Feb;99(8):e19287. doi: 10.1097/MD.0000000000019287.","Lai SW","Medicine (Baltimore)","2020","2020/02/22","PMC7034721","","10.1097/MD.0000000000019287"
"29668602","Hysterectomy is associated with higher risk of coronary artery disease: A nationwide retrospective cohort study in Taiwan","Ding DC, Tsai IJ, Hsu CY, Wang JH, Lin SZ.","Medicine (Baltimore). 2018 Apr;97(16):e0421. doi: 10.1097/MD.0000000000010421.","Ding DC","Medicine (Baltimore)","2018","2018/04/19","PMC5916687","","10.1097/MD.0000000000010421"
"28078393","Antipsychotic use is a risk factor for hyponatremia in patients with schizophrenia: a 15-year follow-up study","Yang HJ, Cheng WJ.","Psychopharmacology (Berl). 2017 Mar;234(5):869-876. doi: 10.1007/s00213-017-4525-9. Epub 2017 Jan 11.","Yang HJ","Psychopharmacology (Berl)","2017","2017/01/13","","","10.1007/s00213-017-4525-9"
"30411796","New use for old drugs: The protective effect of atypical antipsychotics on hepatocellular carcinoma","Chen VC, Chan HL, Hsu TC, Lu ML, Lee YC, Lee Y, Siow JY, McIntyre RS, Zhou AJ, Tzang BS, Lee CT.","Int J Cancer. 2019 May 15;144(10):2428-2439. doi: 10.1002/ijc.31980. Epub 2018 Dec 24.","Chen VC","Int J Cancer","2019","2018/11/10","","","10.1002/ijc.31980"
"29853017","A comparison of hospital and community stay in patients who underwent compulsory admission before and after the 2007 Amendment to the Mental Health Act in Taiwan","Shen SP, Chen YC, Wu HC, Chung TC, Tsai CH, Liang WM, Huang JJ, Chou FH.","Int J Law Psychiatry. 2018 May-Jun;58:87-96. doi: 10.1016/j.ijlp.2018.02.012. Epub 2018 Apr 10.","Shen SP","Int J Law Psychiatry","2018","2018/06/02","","","10.1016/j.ijlp.2018.02.012"
"27023589","Association between Atmospheric Fine Particulate Matter and Hospital Admissions for Chronic Obstructive Pulmonary Disease in Southwestern Taiwan: A Population-Based Study","Hwang SL, Guo SE, Chi MC, Chou CT, Lin YC, Lin CM, Chou YL.","Int J Environ Res Public Health. 2016 Mar 25;13(4):366. doi: 10.3390/ijerph13040366.","Hwang SL","Int J Environ Res Public Health","2016","2016/03/30","PMC4847028","","10.3390/ijerph13040366"
"28797986","Increased occurrence of brain abscesses in cirrhotic patients: A population-based 3-year follow-up study","Chen YC, Hung TH, Tseng KC, Tseng CW, Hsieh YH, Tsai CC, Tsai CC.","Turk J Gastroenterol. 2017 Sep;28(5):342-346. doi: 10.5152/tjg.2017.6374. Epub 2017 Aug 9.","Chen YC","Turk J Gastroenterol","2017","2017/08/12","","","10.5152/tjg.2017.6374"
"28057218","Usefulness of the CHADS(2) Score for Prognostic Stratification in Patients With Coronary Artery Disease Having Coronary Artery Bypass Grafting","Lu DY, Huang CC, Huang PH, Chen JW, Chen TJ, Lin SJ, Chan WL, Lee CY, Leu HB.","Am J Cardiol. 2017 Mar 15;119(6):839-844. doi: 10.1016/j.amjcard.2016.11.035. Epub 2016 Dec 18.","Lu DY","Am J Cardiol","2017","2017/01/07","","","10.1016/j.amjcard.2016.11.035"
"27861146","Metformin and esophageal cancer risk in Taiwanese patients with type 2 diabetes mellitus","Tseng CH.","Oncotarget. 2017 Mar 21;8(12):18802-18810. doi: 10.18632/oncotarget.13390.","Tseng CH","Oncotarget","2017","2016/11/19","PMC5386648","","10.18632/oncotarget.13390"
"28340303","Epidemiology and patterns of facial fractures due to road traffic accidents in Taiwan: A 15-year retrospective study","Yang CS, Chen SC, Yang YC, Huang LC, Guo HR, Yang HY.","Traffic Inj Prev. 2017 Oct 3;18(7):724-729. doi: 10.1080/15389588.2017.1309650. Epub 2017 Mar 24.","Yang CS","Traffic Inj Prev","2017","2017/03/25","","","10.1080/15389588.2017.1309650"
"28782528","The Use of Benzodiazepine Receptor Agonists and the Risk of Hospitalization for Pneumonia: A Nationwide Population-Based Nested Case-Control Study","Chen TY, Winkelman JW, Mao WC, Liu CL, Hsu CY, Wu CS.","Chest. 2018 Jan;153(1):161-171. doi: 10.1016/j.chest.2017.07.030. Epub 2017 Aug 4.","Chen TY","Chest","2018","2017/08/08","","","10.1016/j.chest.2017.07.030"
"27559951","Risk of anxiety and depressive disorders in patients with myocardial infarction: A nationwide population-based cohort study","Feng HP, Chien WC, Cheng WT, Chung CH, Cheng SM, Tzeng WC.","Medicine (Baltimore). 2016 Aug;95(34):e4464. doi: 10.1097/MD.0000000000004464.","Feng HP","Medicine (Baltimore)","2016","2016/08/26","PMC5400317","","10.1097/MD.0000000000004464"
"28013414","Gonorrhea infection increases the risk of prostate cancer in Asian population: a nationwide population-based cohort study","Wang YC, Chung CH, Chen JH, Chiang MH, Ti-Yin, Tsao CH, Lin FH, Chien WC, Shang ST, Chang FY.","Eur J Clin Microbiol Infect Dis. 2017 May;36(5):813-821. doi: 10.1007/s10096-016-2866-7. Epub 2016 Dec 24.","Wang YC","Eur J Clin Microbiol Infect Dis","2017","2016/12/26","","","10.1007/s10096-016-2866-7"
"26549311","Impact of negative media publicity on attention-deficit/hyperactivity disorder medication in Taiwan","Wang LJ, Lee SY, Yuan SS, Yang CJ, Yang KC, Lee TL, Shyu YC.","Pharmacoepidemiol Drug Saf. 2016 Jan;25(1):45-53. doi: 10.1002/pds.3907. Epub 2015 Nov 9.","Wang LJ","Pharmacoepidemiol Drug Saf","2016","2015/11/10","","","10.1002/pds.3907"
"28288438","Epidemiology of pharmaceutically treated depression and treatment resistant depression in Taiwan","Fife D, Feng Y, Wang MY, Chang CJ, Liu CY, Juang HT, Furnback W, Singh J, Wang B.","Psychiatry Res. 2017 Jun;252:277-283. doi: 10.1016/j.psychres.2017.03.006. Epub 2017 Mar 6.","Fife D","Psychiatry Res","2017","2017/03/14","","","10.1016/j.psychres.2017.03.006"
"31207596","Risk of Atopic Diseases among Siblings of Patients with Attention-Deficit Hyperactivity Disorder: A Nationwide Population-Based Cohort Study","Chang TH, Tai YH, Dai YX, Chang YT, Chen TJ, Chen MH.","Int Arch Allergy Immunol. 2019;180(1):37-43. doi: 10.1159/000500831. Epub 2019 Jun 17.","Chang TH","Int Arch Allergy Immunol","2019","2019/06/18","","","10.1159/000500831"
"31398850","Factors Associated with Access of Marital Migrants and Migrant Workers to Healthcare in Taiwan: A Questionnaire Survey with Quantitative Analysis","Chu FY, Chang HT, Shih CL, Jeng CJ, Chen TJ, Lee WC.","Int J Environ Res Public Health. 2019 Aug 8;16(16):2830. doi: 10.3390/ijerph16162830.","Chu FY","Int J Environ Res Public Health","2019","2019/08/11","PMC6720925","","10.3390/ijerph16162830"
"25985261","Outdoor activities and depressive symptoms in displaced older adults following natural disaster: community cohesion as mediator and moderator","Chao SF.","Aging Ment Health. 2016 Sep;20(9):940-7. doi: 10.1080/13607863.2015.1044940. Epub 2015 May 18.","Chao SF","Aging Ment Health","2016","2015/05/19","","","10.1080/13607863.2015.1044940"
"28922715","PM(2.5) components and outpatient visits for asthma: A time-stratified case-crossover study in a suburban area","Jung CR, Young LH, Hsu HT, Lin MY, Chen YC, Hwang BF, Tsai PJ.","Environ Pollut. 2017 Dec;231(Pt 1):1085-1092. doi: 10.1016/j.envpol.2017.08.102. Epub 2017 Sep 14.","Jung CR","Environ Pollut","2017","2017/09/20","","","10.1016/j.envpol.2017.08.102"
"27614945","Traffic-related air pollution increased the risk of Parkinson's disease in Taiwan: A nationwide study","Lee PC, Liu LL, Sun Y, Chen YA, Liu CC, Li CY, Yu HL, Ritz B.","Environ Int. 2016 Nov;96:75-81. doi: 10.1016/j.envint.2016.08.017. Epub 2016 Sep 9.","Lee PC","Environ Int","2016","2016/09/12","","","10.1016/j.envint.2016.08.017"
"30497462","Utilization of Chinese medicine for respiratory discomforts by patients with a medical history of tuberculosis in Taiwan","Yang ST, Lin YR, Wu MY, Chiang JH, Yang PS, Hsia TC, Yen HR.","BMC Complement Altern Med. 2018 Nov 29;18(1):313. doi: 10.1186/s12906-018-2377-4.","Yang ST","BMC Complement Altern Med","2018","2018/12/01","PMC6267063","","10.1186/s12906-018-2377-4"
"26941271","Statin treatment is associated with a decreased risk of active tuberculosis: an analysis of a nationally representative cohort","Lai CC, Lee MT, Lee SH, Hsu WT, Chang SS, Chen SC, Lee CC.","Thorax. 2016 Jul;71(7):646-51. doi: 10.1136/thoraxjnl-2015-207052. Epub 2016 Mar 3.","Lai CC","Thorax","2016","2016/03/05","","","10.1136/thoraxjnl-2015-207052"
"29206719","Trends in Urodynamic Procedures, Surgical Procedures, and Overall Health Resource Utilization in the Adult Taiwanese Population With Urinary Incontinence: A Secondary Data Analysis","Hsu LF, Chang LY, Liao YM, Yeh SD, Tsai PS.","J Nurs Res. 2018 Dec;26(6):438-445. doi: 10.1097/jnr.0000000000000254.","Hsu LF","J Nurs Res","2018","2017/12/06","","","10.1097/jnr.0000000000000254"
